RAW S2:0 RAW S5:0 | S:0,0,1357,145,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:654,0,1687,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:133,0,1766,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:230,0,2094,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:481,0,2273,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:59,0,2366,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:3830,0,0,260,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:3888,0,0,506,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:3961,0,0,461,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:3907,0,0,869,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:3906,0,0,934,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,0,0,0 | HTTP response: -1
RAW S2:0 RAW S5:0 | S:0,0,0,687,0,0 | HTTP response: -1
RAW S2:857 RAW S5:0 | S:2035,857,1046,1656,0,0 | HTTP response: -1
RAW S2:682 RAW S5:0 | S:2301,682,896,1982,0,0 | HTTP response: -1
RAW S2:631 RAW S5:0 | S:2090,631,1009,2110,0,0 | HTTP response: -1
